RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO
2021;V;1590;2;art. 159 p. 2;;5;2;;;3;1;;;;;;;;;;;;;;2;5;5;;;;2;
2021;V;1591;1;art. 159-1 p. 1;;;;;;2;1;;;;;2;0,5;;;;;300;100;;2;5;5;;;;1;
2021;V;1591;2;art. 159-1 p. 2;;;;;;2;1;;;;;2;0,5;;;;;300;100;;2;5;5;;;;1;
2021;V;1591;3;art. 159-1 p. 3;;;;;;2;1;;;;;2;0,5;;;;;500;300;;2;5;5;;;;1;
2021;V;1591;4;art. 159-1 p. 4;;5;5;;;5;5;;;;;;;;;;;;;;2;5;5;;;;2;
2021;V;1600;1;art. 160 p. 1;;2;1;;;;;;;;;2;0,5;;;;;400;300;;;;;;;;2;
2021;V;1600;2;art. 160 p. 2;;6;2;;;3;1;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1600;3;art. 160 p. 3;;6;2;;;5;2;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1600;4;art. 160 p. 4;;7;5;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1610;1;art. 161 p. 1;;3;1;;;5;1;;;;;;;;;;;500;200;;1;3;1;;;;2;
2021;V;1610;2;art. 161 p. 2;;5;2;;;;;;;;;;;;;;;1000;500;;1;3;1;;;;2;
2021;V;1610;3;art. 161 p. 3;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;V;1620;1;art. 162 p. 1;;;;;;3;1;;;;;2;0,5;;;;;100;50;;;;;;;;1;
2021;V;1620;2;art. 162 p. 2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;V;1630;1;art. 163 p. 1;;;;;;3;1;;;;;2;0,5;;;;;100;50;;;;;;;;1;
2021;V;1630;2;art. 163 p. 2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;V;1640;1;art. 164 p. 1;;;;;;2;1;3;1;;;;;120;80;;;;;;;;;;;;1;
2021;V;1640;2;art. 164 p. 2;;;;;;3;2;6;3;;;;;240;120;;;;;;;;;;;;1;
2021;V;1650;1;art. 165 p. 1;;;;;;2;1;;;;;1;0,5;120;80;;;200;100;;;;;;;;1;
2021;V;1650;2;art. 165 p. 2;;;;;;3;2;;;;;2;0,5;240;120;;;;;;;;;;;;1;
2021;V;1660;1;art. 166 p. 1;;5;2;;;5;2;;;;;;;;;;;;;;;;;;;;2;
2021;V;1670;1;art. 167 p. 1;;3;1;;;3;1;;;;;;;;;;;4000;1000;;;;;;;;2;
2021;V;1680;1;art. 168 p. 1;;;;;;;;;;;;2;0,5;240;60;;;50;30;;;;;;;;1;
2021;V;1680;2;art. 168 p. 2;;3;1;;;3;1;;;;;;;;;;;4000;1000;;1;3;1;;;;2;
2021;V;1690;1;art. 169 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;V;1690;2;art. 169 p. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;V;1700;1;art. 170 p. 1;;3;1;;;;;;;;;2;0,5;;;;;;;;2;3;1;;;;2;
2021;V;1710;1;art. 171 p. 1;;;;;;3;1;6;1;;;;;;;;;50;30;;;;;;;;1;
2021;V;1710;2;art. 171 p. 2;;;;;;4;1;6;1;;;;;;;;;200;30;;;;;;;;1;
2021;V;1710;3;art. 171 p. 3;;;;;;5;1;;;;;;;;;;;500;200;;1;3;1;;;;1;
2021;V;1720;1;art. 172 p. 1;;;;;;;;;;;;2;0,5;;;3;2;3000;2000;;;;;;;;1;
2021;V;1720;2;art. 172 p. 2;;;;;;;;6;1;;;2;0,5;;;5;2;5000;3000;;;;;;;;2;
2021;V;1730;1;art. 173 p. 1;;;;;;2;1;6;1;;;;;;;5;2;50;30;;;;;;;;1;
2021;V;1730;2;art. 173 p. 2;;;;;;3;1;;;;;;;;;;;100;50;;;;;;;;1;
2021;V;1740;1;art. 174 p. 1;;;;;;3;1;6;1;;;;;240;120;;;50;30;;;;;;;;1;
2021;V;1750;1;art. 175 p. 1;;;;;;;;;;;;2;0,5;;;;;1000;500;;2;3;1;;;;1;
2021;V;1750;2;art. 175 p. 2;;5;1;;;3;1;;;;;;;;;;;1500;1000;;2;3;1;;;;2;
2021;V;1760;1;art. 176 p. 1;;2;1;;;;;;;;;2;0,5;;;;;1000;200;;;;;;;;2;
2021;V;1760;2;art. 176 p. 2;;5;2;;;;;;;;;2;0,5;;;;;2000;1000;;;;;;;;2;
2021;V;1760;3;art. 176 p. 3;;6;3;;;;;;;;;;;;;;;3000;2000;;1;3;1;;;;3;
2021;V;1770;1;art. 177 p. 1;;2;1;;;;;;;;;2;0,5;;;;;1000;200;;;;;;;;2;
2021;V;1770;2;art. 177 p. 2;;5;2;;;;;;;;;2;0,5;;;;;2000;1000;;;;;;;;2;
2021;V;1770;3;art. 177 p. 3;;6;3;;;;;;;;;;;;;;;3000;2000;;1;3;1;;;;3;
2021;V;1780;1;art. 178 p. 1;;3;1;;;3;1;6;1;;;;;240;60;;;3000;1000;;;;;;;;2;
2021;V;1790;1;art. 179 p. 1;;3;1;;;3;1;6;1;;;;;240;60;;;4000;1000;;;;;;;;2;
2021;V;1800;1;art. 180 p. 1;;2;1;;;2;1;6;1;;;;;240;120;;;3000;1000;;;;;;;;2;
2021;V;1800;2;art. 180 p. 2;;3;1;;;3;1;6;1;;;;;;;;;5000;30;;;;;;;;2;
2021;V;1810;1;art. 181 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;V;1810;2;art. 181 p. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;V;1820;1;art. 182 p. 1;;;;;;3;1;6;1;;;2;0,5;;;;;1000;500;;;;;;;;1;
2021;V;1820;2;art. 182 p. 2;;5;3;;;5;3;6;3;;;;;;;;;;;;;;;;;;2;
2021;V;1830;1;art. 183 p. 1;;;;;;;;;;;;;;;;;;1000;30;;2;3;1;;;;1;
2021;V;1830;2;art. 183 p. 2;;3;1;;;3;1;;;;;;;;;;;1000;30;;2;3;1;;;;2;
2021;V;1840;1;art. 184 p. 1;;;;;;;;6;1;;;;;;;;;100;30;;;;;;;;1;
2021;V;1840;2;art. 184 p. 2;;;;;;;;;;;;2;0,5;;;;;1000;30;;;;;;;;1;
2021;VI;1850;1;art. 185 p. 1;;;;;;5;1;6;1;;;2;0,5;240;80;;;3000;1000;;;;;;;;1;
2021;VI;1850;2;art. 185 p. 2;;5;1;;;5;1;6;3;;;;;;;;;;;;;;;;;;2;
2021;VI;1850;3;art. 185 p. 3;;6;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1850;4;art. 185 p. 4;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1850;5;art. 185 p. 5;;12;7;;;;;;;;;;;;;;;;;2;;;;;;;4;
2021;VI;1860;1;art. 186 p. 1;;4;1;;;;;6;1;;;2;0,5;240;120;;;4000;2000;;;;;;;;2;
2021;VI;1860;2;art. 186 p. 2;;6;4;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1860;3;art. 186 p. 3;;8;4;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1860;4;art. 186 p. 4;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1860;5;art. 186 p. 5;;13;8;;;;;;;;;;;;;;;;;2;;;;;;;4;
2021;VI;1870;1;art. 187 p. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1870;2;art. 187 p. 2;;10;7;;;;;;;;;;;;;;;;;2;;;;;;;3;
2021;VI;1870;3;art. 187 p. 3;;12;7;;;;;;;;;;;;;;;;;2;;;;;;;4;
2021;VI;1870;4;art. 187 p. 4;;15;8;;;;;;;;;;;;;;;;;2;;;;;;;4;
2021;VI;1881;1;art. 188-1 p. 1;;;;;;3;1;;;;;2;0,5;;;;;200;100;;;;;;;;1;
2021;VI;1881;2;art. 188-1 p. 2;;3;1;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;VI;1890;1;art. 189 p. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;VI;1890;2;art. 189 p. 2;;7;3;;;;;;;;;;;;;;;;;;;;;1;50;30;3;
2021;VI;1890;3;art. 189 p. 3;;10;5;;;;;;;;;;;;;;;;;2;;;;;;;3;
2021;VI;1890;4;art. 189 p. 4;;12;7;;;;;;;;;;;;;;;;;2;;;;2;750;250;4;
2021;VI;1900;1;art. 190 p. 1;;;;;;3;1;;;;;2;0,5;240;200;;;3000;2000;;;;;;;;1;
2021;VI;1900;2;art. 190 p. 2;;3;1;;;5;1;;;;;2;1;;;;;4000;3000;;;;;;;;2;
2021;VI;1900;3;art. 190 p. 3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1900;4;art. 190 p. 4;;12;5;;;;;;;;;;;;;;;;;2;;;;;;;4;
2021;VI;1910;1;art. 191 p. 1;;4;1;;;4;1;;;;;2;0,5;;;;;5000;2000;;1;3;1;;;;2;
2021;VI;1910;2;art. 191 p. 2;;5;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;
2021;VI;1910;3;art. 191 p. 3;;8;3;;;5;3;;;;;;;;;;;;;;2;3;1;;;;3;
2021;VI;1910;4;art. 191 p. 4;;8;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;
2021;VI;1910;5;art. 191 p. 5;;12;7;;;;;;;;;;;;;;;;;2;2;3;1;;;;4;
2021;VI;1920;1;art. 192 p. 1;;;;;;;;6;1;;;2;0,5;240;60;;;50;30;;;;;;;;1;
2021;VI;1920;2;art. 192 p. 2;;;;;;3;1;;;;;;;;;;;100;50;;;;;;;;1;
2021;VI;1930;1;art. 193 p. 1;;;;;;;;6;1;;;2;0,5;240;60;;;150;100;;;;;;;;1;
2021;VI;1940;1;art. 194 p. 1;;3;1;;;3;1;;;;;2;0,5;240;120;;;4000;1000;;;;;;;;2;
2021;VI;1940;2;art. 194 p. 2;;10;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1941;1;art. 194-1 p. 1;;3;1;;;3;1;;;;;2;0,5;;;;;4000;1000;;;;;;;;2;
2021;VI;1941;2;art. 194-1 p. 2;;10;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;VI;1941;3;art. 194-1 p. 3;;15;8;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;VI;1950;1;art. 195 p. 1;;;;;;;;6;1;;;1;0,5;120;60;;;50;30;;;;;;;;1;
2021;VI;1960;1;art. 196 p. 1;;3;1;;;3;1;;;;;2;0,5;;;;;;;;;;;;;;2;
