RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO;RANK;INDEX
2019;V;1840;2;Ст. 184 ч. 2;;;;;;;;;;;;2;0,5;;;;;1000;30;;;;;;;;1;;;
2019;VI;1850;1;Ст. 185 ч. 1;;3;1;;;;;6;1;;;2;0,5;240;80;;;100;50;;;;;;;;2;;;
2019;VI;1850;2;Ст. 185 ч. 2;;5;1;;;5;1;6;3;;;;;;;;;;;;;;;;;;2;;;
2019;VI;1850;3;Ст. 185 ч. 3;;6;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1850;4;Ст. 185 ч. 4;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1850;5;Ст. 185 ч. 5;;12;7;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VI;1860;1;Ст. 186 ч. 1;;4;1;;;;;6;1;;;2;0,5;240;120;;;100;50;;;;;;;;2;;;
2019;VI;1860;2;Ст. 186 ч. 2;;6;4;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1860;3;Ст. 186 ч. 3;;8;4;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1860;4;Ст. 186 ч. 4;;10;7;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1860;5;Ст. 186 ч. 5;;13;8;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VI;1870;1;Ст. 187 ч. 1;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1870;2;Ст. 187 ч. 2;;10;7;;;;;;;;;;;;;;;;;2;;;;;;;3;;;
2019;VI;1870;3;Ст. 187 ч. 3;;12;7;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VI;1870;4;Ст. 187 ч. 4;;15;8;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VI;1881;1;Ст. 188-1 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;200;100;;;;;;;;1;;;
2019;VI;1881;2;Ст. 188-1 ч. 2;;3;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;VI;1890;1;Ст. 189 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;VI;1890;2;Ст. 189 ч. 2;;7;3;;;;;;;;;;;;;;;;;;;;;1;50;30;3;;;
2019;VI;1890;3;Ст. 189 ч. 3;;10;5;;;;;;;;;;;;;;;;;2;;;;;;;3;;;
2019;VI;1890;4;Ст. 189 ч. 4;;12;7;;;;;;;;;;;;;;;;;2;;;;2;750;250;4;;;
2019;VI;1900;1;Ст. 190 ч. 1;;;;;;3;1;;;;;2;0,5;240;60;;;50;30;;;;;;;;1;;;
2019;VI;1900;2;Ст. 190 ч. 2;;3;1;;;5;1;;;;;2;1;;;;;100;50;;;;;;;;2;;;
2019;VI;1900;3;Ст. 190 ч. 3;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;VI;1900;4;Ст. 190 ч. 4;;12;5;;;;;;;;;;;;;;;;;2;;;;;;;4;;;
2019;VI;1910;1;Ст. 191 ч. 1;;4;1;;;4;1;;;;;2;0,5;;;;;50;30;;1;3;1;;;;2;;;
2019;VI;1910;2;Ст. 191 ч. 2;;5;1;;;5;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;VI;1910;3;Ст. 191 ч. 3;;8;3;;;5;3;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;VI;1910;4;Ст. 191 ч. 4;;8;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;VI;1910;5;Ст. 191 ч. 5;;12;7;;;;;;;;;;;;;;;;;2;2;3;1;;;;4;;;
2019;VI;1920;1;Ст. 192 ч. 1;;;;;;;;6;1;;;2;0,5;240;60;;;50;30;;;;;;;;1;;;
